Date,Commodity,Index (Jan 2005 = 100)
01/01/2006,Wheat,71.7
01/02/2006,Wheat,77.5
01/03/2006,Wheat,76.3
01/04/2006,Wheat,77.9
01/05/2006,Wheat,85.0
01/06/2006,Wheat,85.8
01/07/2006,Wheat,87.8
01/08/2006,Wheat,84.0
01/09/2006,Wheat,87.0
01/10/2006,Wheat,91.7
01/11/2006,Wheat,90.9
01/12/2006,Wheat,90.0
01/01/2007,Wheat,85.8
01/02/2007,Wheat,86.7
01/03/2007,Wheat,85.8
01/04/2007,Wheat,86.5
01/05/2007,Wheat,83.2
01/06/2007,Wheat,95.1
01/07/2007,Wheat,103.5
01/08/2007,Wheat,113.2
01/09/2007,Wheat,143.0
01/10/2007,Wheat,142.6
01/11/2007,Wheat,136.5
01/12/2007,Wheat,155.1
01/01/2008,Wheat,155.2
01/02/2008,Wheat,179.8
01/03/2008,Wheat,183.0
01/04/2008,Wheat,157.0
01/05/2008,Wheat,140.3
01/06/2008,Wheat,149.7
01/07/2008,Wheat,142.7
01/08/2008,Wheat,141.3
01/09/2008,Wheat,127.7
01/10/2008,Wheat,106.8
01/11/2008,Wheat,102.5
01/12/2008,Wheat,99.5
01/01/2009,Wheat,110.2
01/02/2009,Wheat,102.7
01/03/2009,Wheat,104.0
01/04/2009,Wheat,106.0
01/05/2009,Wheat,115.4
01/06/2009,Wheat,112.0
01/07/2009,Wheat,99.8
01/08/2009,Wheat,92.6
01/09/2009,Wheat,85.7
01/10/2009,Wheat,89.4
01/11/2009,Wheat,97.0
01/12/2009,Wheat,94.5
01/01/2010,Wheat,89.7
01/02/2010,Wheat,87.6
01/03/2010,Wheat,86.7
01/04/2010,Wheat,84.7
01/05/2010,Wheat,81.3
01/06/2010,Wheat,76.3
01/07/2010,Wheat,91.9
01/08/2010,Wheat,117.5
01/09/2010,Wheat,129.6
01/10/2010,Wheat,123.2
01/11/2010,Wheat,122.8
01/12/2010,Wheat,136.6
01/01/2011,Wheat,142.9
01/02/2011,Wheat,151.7
01/03/2011,Wheat,140.0
01/04/2011,Wheat,146.8
01/05/2011,Wheat,149.7
01/06/2011,Wheat,138.9
01/07/2011,Wheat,126.8
01/08/2011,Wheat,139.3
01/09/2011,Wheat,134.7
01/10/2011,Wheat,124.9
01/11/2011,Wheat,121.2
01/12/2011,Wheat,119.9
01/01/2012,Wheat,120.0
01/02/2012,Wheat,121.6
01/03/2012,Wheat,123.3
01/04/2012,Wheat,113.5
01/05/2012,Wheat,115.2
01/06/2012,Wheat,119.3
01/07/2012,Wheat,145.7
01/08/2012,Wheat,148.1
01/09/2012,Wheat,155.4
01/10/2012,Wheat,152.4
01/11/2012,Wheat,151.5
01/12/2012,Wheat,145.0
01/01/2013,Wheat,139.6
01/02/2013,Wheat,135.2
01/03/2013,Wheat,130.3
01/04/2013,Wheat,130.0
01/05/2013,Wheat,132.9
01/06/2013,Wheat,128.8
01/07/2013,Wheat,124.2
01/08/2013,Wheat,125.4
01/09/2013,Wheat,125.0
01/10/2013,Wheat,132.6
01/11/2013,Wheat,126.3
01/12/2013,Wheat,119.1
01/01/2014,Wheat,113.0
01/02/2014,Wheat,119.3
01/03/2014,Wheat,132.7
01/04/2014,Wheat,130.3
01/05/2014,Wheat,132.7
01/06/2014,Wheat,123.3
01/07/2014,Wheat,113.9
01/08/2014,Wheat,110.4
01/09/2014,Wheat,106.2
01/10/2014,Wheat,110.0
01/11/2014,Wheat,108.5
01/12/2014,Wheat,111.2
01/01/2015,Wheat,100.0
01/02/2015,Wheat,95.8
01/03/2015,Wheat,95.4
01/04/2015,Wheat,92.9
01/05/2015,Wheat,88.7
01/06/2015,Wheat,90.6
01/07/2015,Wheat,89.5
01/08/2015,Wheat,81.9
01/09/2015,Wheat,83.1
01/10/2015,Wheat,82.1
01/11/2015,Wheat,79.5
01/12/2015,Wheat,80.6
01/01/2016,Wheat,80.1
01/02/2016,Wheat,76.7
01/03/2016,Wheat,77.8
01/04/2016,Wheat,74.8
01/05/2016,Wheat,72.9
01/06/2016,Wheat,74.4
01/07/2016,Wheat,70.1
01/08/2016,Wheat,71.2
01/09/2016,Wheat,70.8
01/10/2016,Wheat,71.5
01/11/2016,Wheat,70.8
01/12/2016,Wheat,69.3
01/01/2017,Wheat,75.1
01/02/2017,Wheat,78.4
01/03/2017,Wheat,73.6
01/04/2017,Wheat,70.4
01/05/2017,Wheat,74.5
01/06/2017,Wheat,84.4
01/01/2006,Rice,75.8
01/02/2006,Rice,79.0
01/03/2006,Rice,79.6
01/04/2006,Rice,79.7
01/05/2006,Rice,80.3
01/06/2006,Rice,81.6
01/07/2006,Rice,83.1
01/08/2006,Rice,83.4
01/09/2006,Rice,83.4
01/10/2006,Rice,82.3
01/11/2006,Rice,79.9
01/12/2006,Rice,82.0
01/01/2007,Rice,82.3
01/02/2007,Rice,83.1
01/03/2007,Rice,85.7
01/04/2007,Rice,84.1
01/05/2007,Rice,83.8
01/06/2007,Rice,85.2
01/07/2007,Rice,86.4
01/08/2007,Rice,85.9
01/09/2007,Rice,85.6
01/10/2007,Rice,86.2
01/11/2007,Rice,91.9
01/12/2007,Rice,97.3
01/01/2008,Rice,100.9
01/02/2008,Rice,123.5
01/03/2008,Rice,172.8
01/04/2008,Rice,262.3
01/05/2008,Rice,260.7
01/06/2008,Rice,215.8
01/07/2008,Rice,209.8
01/08/2008,Rice,193.6
01/09/2008,Rice,189.6
01/10/2008,Rice,167.5
01/11/2008,Rice,151.1
01/12/2008,Rice,147.9
01/01/2009,Rice,167.7
01/02/2009,Rice,172.9
01/03/2009,Rice,170.4
01/04/2009,Rice,157.7
01/05/2009,Rice,147.9
01/06/2009,Rice,150.0
01/07/2009,Rice,170.1
01/08/2009,Rice,157.2
01/09/2009,Rice,162.2
01/10/2009,Rice,154.2
01/11/2009,Rice,154.2
01/12/2009,Rice,165.1
01/01/2010,Rice,162.0
01/02/2010,Rice,158.4
01/03/2010,Rice,147.3
01/04/2010,Rice,135.6
01/05/2010,Rice,126.2
01/06/2010,Rice,123.5
01/07/2010,Rice,126.4
01/08/2010,Rice,130.1
01/09/2010,Rice,139.0
01/10/2010,Rice,142.3
01/11/2010,Rice,145.0
01/12/2010,Rice,143.3
01/01/2011,Rice,140.1
01/02/2011,Rice,142.4
01/03/2011,Rice,135.1
01/04/2011,Rice,132.6
01/05/2011,Rice,132.6
01/06/2011,Rice,137.3
01/07/2011,Rice,144.2
01/08/2011,Rice,152.4
01/09/2011,Rice,162.5
01/10/2011,Rice,158.6
01/11/2011,Rice,160.5
01/12/2011,Rice,153.1
01/01/2012,Rice,141.6
01/02/2012,Rice,143.3
01/03/2012,Rice,151.0
01/04/2012,Rice,153.4
01/05/2012,Rice,160.5
01/06/2012,Rice,158.8
01/07/2012,Rice,150.0
01/08/2012,Rice,151.1
01/09/2012,Rice,153.1
01/10/2012,Rice,151.7
01/11/2012,Rice,153.3
01/12/2012,Rice,146.8
01/01/2013,Rice,147.9
01/02/2013,Rice,148.0
01/03/2013,Rice,145.6
01/04/2013,Rice,142.0
01/05/2013,Rice,141.6
01/06/2013,Rice,140.1
01/07/2013,Rice,136.9
01/08/2013,Rice,128.1
01/09/2013,Rice,119.5
01/10/2013,Rice,114.7
01/11/2013,Rice,113.6
01/12/2013,Rice,113.2
01/01/2014,Rice,110.7
01/02/2014,Rice,112.2
01/03/2014,Rice,108.9
01/04/2014,Rice,101.9
01/05/2014,Rice,100.3
01/06/2014,Rice,103.1
01/07/2014,Rice,105.6
01/08/2014,Rice,108.7
01/09/2014,Rice,107.7
01/10/2014,Rice,106.0
01/11/2014,Rice,102.7
01/12/2014,Rice,100.7
01/01/2015,Rice,100.0
01/02/2015,Rice,100.0
01/03/2015,Rice,97.8
01/04/2015,Rice,95.2
01/05/2015,Rice,92.8
01/06/2015,Rice,89.9
01/07/2015,Rice,93.7
01/08/2015,Rice,90.8
01/09/2015,Rice,86.7
01/10/2015,Rice,86.5
01/11/2015,Rice,86.0
01/12/2015,Rice,85.0
01/01/2016,Rice,86.1
01/02/2016,Rice,89.4
01/03/2016,Rice,88.7
01/04/2016,Rice,89.6
01/05/2016,Rice,97.4
01/06/2016,Rice,100.3
01/07/2016,Rice,108.3
01/08/2016,Rice,98.3
01/09/2016,Rice,91.2
01/10/2016,Rice,86.8
01/11/2016,Rice,85.2
01/12/2016,Rice,86.7
01/01/2017,Rice,87.8
01/02/2017,Rice,86.8
01/03/2017,Rice,86.6
01/04/2017,Rice,88.0
01/05/2017,Rice,94.5
01/06/2017,Rice,104.4
01/01/2006,Sugar,112.3
01/02/2006,Sugar,128.0
01/03/2006,Sugar,122.9
01/04/2006,Sugar,124.6
01/05/2006,Sugar,119.8
01/06/2006,Sugar,109.7
01/07/2006,Sugar,114.2
01/08/2006,Sugar,95.7
01/09/2006,Sugar,85.9
01/10/2006,Sugar,82.5
01/11/2006,Sugar,83.5
01/12/2006,Sugar,82.0
01/01/2007,Sugar,76.9
01/02/2007,Sugar,74.2
01/03/2007,Sugar,73.3
01/04/2007,Sugar,67.8
01/05/2007,Sugar,65.8
01/06/2007,Sugar,64.8
01/07/2007,Sugar,70.6
01/08/2007,Sugar,68.0
01/09/2007,Sugar,67.6
01/10/2007,Sugar,68.7
01/11/2007,Sugar,69.4
01/12/2007,Sugar,73.6
01/01/2008,Sugar,82.1
01/02/2008,Sugar,92.6
01/03/2008,Sugar,90.5
01/04/2008,Sugar,86.7
01/05/2008,Sugar,83.3
01/06/2008,Sugar,83.7
01/07/2008,Sugar,99.8
01/08/2008,Sugar,102.5
01/09/2008,Sugar,94.9
01/10/2008,Sugar,85.3
01/11/2008,Sugar,86.8
01/12/2008,Sugar,84.2
01/01/2009,Sugar,91.7
01/02/2009,Sugar,96.6
01/03/2009,Sugar,97.6
01/04/2009,Sugar,99.6
01/05/2009,Sugar,117.1
01/06/2009,Sugar,119.9
01/07/2009,Sugar,134.4
01/08/2009,Sugar,163.6
01/09/2009,Sugar,168.1
01/10/2009,Sugar,164.7
01/11/2009,Sugar,161.9
01/12/2009,Sugar,171.2
01/01/2010,Sugar,191.5
01/02/2010,Sugar,183.7
01/03/2010,Sugar,135.0
01/04/2010,Sugar,117.9
01/05/2010,Sugar,109.0
01/06/2010,Sugar,113.3
01/07/2010,Sugar,124.6
01/08/2010,Sugar,132.1
01/09/2010,Sugar,160.7
01/10/2010,Sugar,175.5
01/11/2010,Sugar,187.9
01/12/2010,Sugar,199.5
01/01/2011,Sugar,210.0
01/02/2011,Sugar,209.0
01/03/2011,Sugar,186.1
01/04/2011,Sugar,172.4
01/05/2011,Sugar,155.3
01/06/2011,Sugar,178.4
01/07/2011,Sugar,199.0
01/08/2011,Sugar,195.7
01/09/2011,Sugar,188.0
01/10/2011,Sugar,179.1
01/11/2011,Sugar,169.0
01/12/2011,Sugar,162.1
01/01/2012,Sugar,164.7
01/02/2012,Sugar,168.6
01/03/2012,Sugar,168.5
01/04/2012,Sugar,159.2
01/05/2012,Sugar,145.6
01/06/2012,Sugar,143.3
01/07/2012,Sugar,158.4
01/08/2012,Sugar,144.6
01/09/2012,Sugar,138.4
01/10/2012,Sugar,140.8
01/11/2012,Sugar,134.0
01/12/2012,Sugar,133.8
01/01/2013,Sugar,130.1
01/02/2013,Sugar,125.9
01/03/2013,Sugar,127.1
01/04/2013,Sugar,121.9
01/05/2013,Sugar,120.7
01/06/2013,Sugar,117.1
01/07/2013,Sugar,114.4
01/08/2013,Sugar,115.7
01/09/2013,Sugar,118.2
01/10/2013,Sugar,126.1
01/11/2013,Sugar,119.5
01/12/2013,Sugar,111.8
01/01/2014,Sugar,104.7
01/02/2014,Sugar,111.3
01/03/2014,Sugar,120.0
01/04/2014,Sugar,116.9
01/05/2014,Sugar,121.3
01/06/2014,Sugar,120.6
01/07/2014,Sugar,120.4
01/08/2014,Sugar,113.5
01/09/2014,Sugar,105.6
01/10/2014,Sugar,109.6
01/11/2014,Sugar,106.0
01/12/2014,Sugar,100.3
01/01/2015,Sugar,100.0
01/02/2015,Sugar,95.1
01/03/2015,Sugar,85.8
01/04/2015,Sugar,84.8
01/05/2015,Sugar,86.4
01/06/2015,Sugar,80.7
01/07/2015,Sugar,82.4
01/08/2015,Sugar,74.2
01/09/2015,Sugar,76.5
01/10/2015,Sugar,89.2
01/11/2015,Sugar,93.3
01/12/2015,Sugar,93.8
01/01/2016,Sugar,89.9
01/02/2016,Sugar,84.9
01/03/2016,Sugar,98.8
01/04/2016,Sugar,96.9
01/05/2016,Sugar,108.3
01/06/2016,Sugar,123.8
01/07/2016,Sugar,124.3
01/08/2016,Sugar,127.6
01/09/2016,Sugar,136.5
01/10/2016,Sugar,140.0
01/11/2016,Sugar,127.9
01/12/2016,Sugar,116.5
01/01/2017,Sugar,127.9
01/02/2017,Sugar,127.6
01/03/2017,Sugar,113.7
01/04/2017,Sugar,103.1
01/05/2017,Sugar,100.7
01/06/2017,Sugar,87.2
01/01/2006,Beef,53.7
01/02/2006,Beef,54.2
01/03/2006,Beef,52.8
01/04/2006,Beef,53.2
01/05/2006,Beef,53.2
01/06/2006,Beef,52.7
01/07/2006,Beef,54.1
01/08/2006,Beef,55.5
01/09/2006,Beef,55.5
01/10/2006,Beef,55.3
01/11/2006,Beef,56.7
01/12/2006,Beef,56.7
01/01/2007,Beef,55.2
01/02/2007,Beef,54.8
01/03/2007,Beef,54.8
01/04/2007,Beef,54.4
01/05/2007,Beef,54.0
01/06/2007,Beef,54.9
01/07/2007,Beef,54.1
01/08/2007,Beef,54.1
01/09/2007,Beef,54.1
01/10/2007,Beef,52.7
01/11/2007,Beef,53.6
01/12/2007,Beef,54.5
01/01/2008,Beef,54.9
01/02/2008,Beef,58.0
01/03/2008,Beef,48.5
01/04/2008,Beef,47.5
01/05/2008,Beef,56.6
01/06/2008,Beef,59.3
01/07/2008,Beef,61.7
01/08/2008,Beef,63.1
01/09/2008,Beef,59.8
01/10/2008,Beef,55.0
01/11/2008,Beef,54.5
01/12/2008,Beef,52.6
01/01/2009,Beef,54.9
01/02/2009,Beef,51.5
01/03/2009,Beef,53.9
01/04/2009,Beef,56.0
01/05/2009,Beef,57.9
01/06/2009,Beef,58.9
01/07/2009,Beef,59.8
01/08/2009,Beef,59.8
01/09/2009,Beef,59.8
01/10/2009,Beef,58.2
01/11/2009,Beef,60.1
01/12/2009,Beef,61.1
01/01/2010,Beef,64.1
01/02/2010,Beef,67.9
01/03/2010,Beef,72.7
01/04/2010,Beef,78.2
01/05/2010,Beef,74.9
01/06/2010,Beef,68.7
01/07/2010,Beef,68.9
01/08/2010,Beef,72.0
01/09/2010,Beef,72.0
01/10/2010,Beef,73.0
01/11/2010,Beef,73.8
01/12/2010,Beef,81.6
01/01/2011,Beef,87.0
01/02/2011,Beef,86.1
01/03/2011,Beef,88.0
01/04/2011,Beef,90.3
01/05/2011,Beef,86.1
01/06/2011,Beef,83.5
01/07/2011,Beef,82.9
01/08/2011,Beef,84.3
01/09/2011,Beef,82.0
01/10/2011,Beef,81.1
01/11/2011,Beef,86.9
01/12/2011,Beef,88.4
01/01/2012,Beef,88.2
01/02/2012,Beef,89.7
01/03/2012,Beef,90.0
01/04/2012,Beef,88.9
01/05/2012,Beef,86.7
01/06/2012,Beef,85.0
01/07/2012,Beef,82.6
01/08/2012,Beef,83.8
01/09/2012,Beef,82.5
01/10/2012,Beef,83.2
01/11/2012,Beef,88.0
01/12/2012,Beef,89.6
01/01/2013,Beef,89.0
01/02/2013,Beef,88.5
01/03/2013,Beef,87.3
01/04/2013,Beef,86.8
01/05/2013,Beef,81.3
01/06/2013,Beef,78.9
01/07/2013,Beef,79.3
01/08/2013,Beef,79.3
01/09/2013,Beef,78.8
01/10/2013,Beef,79.6
01/11/2013,Beef,81.9
01/12/2013,Beef,83.1
01/01/2014,Beef,83.1
01/02/2014,Beef,84.3
01/03/2014,Beef,87.6
01/04/2014,Beef,83.9
01/05/2014,Beef,85.4
01/06/2014,Beef,88.1
01/07/2014,Beef,99.2
01/08/2014,Beef,112.8
01/09/2014,Beef,118.7
01/10/2014,Beef,115.5
01/11/2014,Beef,113.2
01/12/2014,Beef,103.7
01/01/2015,Beef,100.0
01/02/2015,Beef,90.5
01/03/2015,Beef,89.6
01/04/2015,Beef,91.9
01/05/2015,Beef,85.3
01/06/2015,Beef,83.6
01/07/2015,Beef,87.2
01/08/2015,Beef,90.5
01/09/2015,Beef,86.4
01/10/2015,Beef,78.2
01/11/2015,Beef,75.0
01/12/2015,Beef,70.8
01/01/2016,Beef,67.3
01/02/2016,Beef,72.4
01/03/2016,Beef,74.5
01/04/2016,Beef,74.4
01/05/2016,Beef,75.5
01/06/2016,Beef,76.4
01/07/2016,Beef,78.7
01/08/2016,Beef,77.8
01/09/2016,Beef,76.7
01/10/2016,Beef,75.3
01/11/2016,Beef,76.3
01/12/2016,Beef,72.5
01/01/2017,Beef,73.5
01/02/2017,Beef,76.8
01/03/2017,Beef,79.1
01/04/2017,Beef,80.0
01/05/2017,Beef,83.1
01/06/2017,Beef,85.5
01/01/2006,Palm oil,67.7
01/02/2006,Palm oil,71.1
01/03/2006,Palm oil,70.3
01/04/2006,Palm oil,70.0
01/05/2006,Palm oil,70.2
01/06/2006,Palm oil,69.7
01/07/2006,Palm oil,75.0
01/08/2006,Palm oil,81.3
01/09/2006,Palm oil,79.2
01/10/2006,Palm oil,80.5
01/11/2006,Palm oil,86.9
01/12/2006,Palm oil,92.6
01/01/2007,Palm oil,94.2
01/02/2007,Palm oil,95.1
01/03/2007,Palm oil,97.8
01/04/2007,Palm oil,110.9
01/05/2007,Palm oil,120.6
01/06/2007,Palm oil,125.8
01/07/2007,Palm oil,125.9
01/08/2007,Palm oil,127.4
01/09/2007,Palm oil,129.6
01/10/2007,Palm oil,135.6
01/11/2007,Palm oil,146.5
01/12/2007,Palm oil,146.2
01/01/2008,Palm oil,162.6
01/02/2008,Palm oil,178.1
01/03/2008,Palm oil,191.8
01/04/2008,Palm oil,181.4
01/05/2008,Palm oil,186.7
01/06/2008,Palm oil,187.5
01/07/2008,Palm oil,177.2
01/08/2008,Palm oil,139.0
01/09/2008,Palm oil,121.1
01/10/2008,Palm oil,87.5
01/11/2008,Palm oil,78.3
01/12/2008,Palm oil,80.8
01/01/2009,Palm oil,91.7
01/02/2009,Palm oil,93.3
01/03/2009,Palm oil,97.5
01/04/2009,Palm oil,114.7
01/05/2009,Palm oil,130.9
01/06/2009,Palm oil,118.7
01/07/2009,Palm oil,104.5
01/08/2009,Palm oil,118.0
01/09/2009,Palm oil,110.0
01/10/2009,Palm oil,110.8
01/11/2009,Palm oil,118.1
01/12/2009,Palm oil,129.0
01/01/2010,Palm oil,128.5
01/02/2010,Palm oil,129.3
01/03/2010,Palm oil,134.8
01/04/2010,Palm oil,133.3
01/05/2010,Palm oil,130.2
01/06/2010,Palm oil,128.1
01/07/2010,Palm oil,129.0
01/08/2010,Palm oil,144.7
01/09/2010,Palm oil,145.8
01/10/2010,Palm oil,157.6
01/11/2010,Palm oil,177.1
01/12/2010,Palm oil,196.1
01/01/2011,Palm oil,203.4
01/02/2011,Palm oil,205.2
01/03/2011,Palm oil,187.4
01/04/2011,Palm oil,182.1
01/05/2011,Palm oil,183.6
01/06/2011,Palm oil,179.5
01/07/2011,Palm oil,172.0
01/08/2011,Palm oil,171.0
01/09/2011,Palm oil,168.2
01/10/2011,Palm oil,156.6
01/11/2011,Palm oil,165.9
01/12/2011,Palm oil,161.8
01/01/2012,Palm oil,166.1
01/02/2012,Palm oil,173.2
01/03/2012,Palm oil,180.5
01/04/2012,Palm oil,185.1
01/05/2012,Palm oil,170.1
01/06/2012,Palm oil,156.6
01/07/2012,Palm oil,157.4
01/08/2012,Palm oil,154.6
01/09/2012,Palm oil,149.9
01/10/2012,Palm oil,130.2
01/11/2012,Palm oil,126.2
01/12/2012,Palm oil,120.4
01/01/2013,Palm oil,129.7
01/02/2013,Palm oil,133.1
01/03/2013,Palm oil,131.7
01/04/2013,Palm oil,129.2
01/05/2013,Palm oil,130.2
01/06/2013,Palm oil,131.9
01/07/2013,Palm oil,126.7
01/08/2013,Palm oil,126.1
01/09/2013,Palm oil,124.7
01/10/2013,Palm oil,130.0
01/11/2013,Palm oil,139.4
01/12/2013,Palm oil,138.0
01/01/2014,Palm oil,129.8
01/02/2014,Palm oil,136.3
01/03/2014,Palm oil,144.2
01/04/2014,Palm oil,135.5
01/05/2014,Palm oil,132.9
01/06/2014,Palm oil,127.4
01/07/2014,Palm oil,124.2
01/08/2014,Palm oil,112.5
01/09/2014,Palm oil,104.7
01/10/2014,Palm oil,106.1
01/11/2014,Palm oil,107.1
01/12/2014,Palm oil,101.6
01/01/2015,Palm oil,100.0
01/02/2015,Palm oil,100.4
01/03/2015,Palm oil,98.4
01/04/2015,Palm oil,96.1
01/05/2015,Palm oil,95.6
01/06/2015,Palm oil,97.4
01/07/2015,Palm oil,91.8
01/08/2015,Palm oil,79.3
01/09/2015,Palm oil,77.8
01/10/2015,Palm oil,83.7
01/11/2015,Palm oil,80.1
01/12/2015,Palm oil,81.5
01/01/2016,Palm oil,81.1
01/02/2016,Palm oil,91.5
01/03/2016,Palm oil,98.3
01/04/2016,Palm oil,103.1
01/05/2016,Palm oil,100.6
01/06/2016,Palm oil,97.4
01/07/2016,Palm oil,92.6
01/08/2016,Palm oil,104.5
01/09/2016,Palm oil,107.3
01/10/2016,Palm oil,101.1
01/11/2016,Palm oil,106.0
01/12/2016,Palm oil,111.2
01/01/2017,Palm oil,114.0
01/02/2017,Palm oil,109.0
01/03/2017,Palm oil,103.4
01/04/2017,Palm oil,96.4
01/05/2017,Palm oil,102.1
01/06/2017,Palm oil,95.1
